Sentence,Polarity,Subjectivity
Pros And Cons Of Investing In Meta Platforms Stock ( NASDAQ : FB ) | Seeking AlphaSeeking Alpha - Go HomepageTrendingMy PortfolioMy AuthorsTop StocksLatest NewsMarketsStock IdeasDividendsETFsEducationWatch & ListenLong,0.0,0.0
IdeasTechPros And Cons Of Investing In Meta Platforms StockApr .,0.0,0.0
07 2022 9:00 AM ETMeta Platforms Inc. ( FB ) 20 Comments10 LikesJulian LinMarketplaceFollowSummaryMeta Platforms formerly known Facebook `` face '' last several months .,0.0,0.022222222222222223
The company facing headwinds ranging Apples data privacy changes fierce competition .,0.0,0.0
On top headwinds company investing heavily metaverse held back income $ 10 billion 2021.I rate stock strong buy one higher conviction ideas .,0.19666666666666666,0.44666666666666666
Looking portfolio ideas like one ?,0.0,0.0
Members Best Of Breed get exclusive access model portfolio .,1.0,0.3
Learn More » Chip Somodevilla Getty Images NewsMeta Platforms ( NASDAQ : FB ) seen stock sentiment swing growth stock legitimate value stock - months ’ time .,0.5,0.5
The stock typically avoided tech-like volatility due strong free cash flows recent earnings report sent stock diving lower wiping nearly 3 years worth gains .,0.13452380952380952,0.4511904761904762
The stock trading 16x trailing earnings kind multiple typically assigned companies growth .,0.14444444444444446,0.4666666666666666
I expect growth return stock price react dramatic fashion .,-0.4333333333333333,0.6
I rate shares strong buy one higher conviction ideas today ’ market .,0.3416666666666667,0.6166666666666667
FB Stock Price,0.0,0.0
After peaking $ 384 per share late 2021 FB tumbled 40 % trade around $ 230 per share .,-0.3,0.6
Data YChartsThis stock price places cheaper stock traded 2 years ago around price traded July 2018 .,0.0,0.0
The company grown materially time frame making stock price action reflection flip sentiment towards stock .,0.1,0.1
Once “ must-own ” growth stock company facing doubts regarding ability return growth .,0.0,0.0
FB Stock Key Metrics,0.0,1.0
The latest quarter saw FB grow revenues 20 % .,0.5,0.9
That solid growth rate investors spooked two issues .,0.0,0.1
First monthly active users essentially stalled sequentially .,0.03888888888888889,0.41111111111111115
Investors become worried competition companies like TikTok Snapchat ( SNAP ) finally caught social media incumbent .,0.016666666666666666,0.5333333333333333
FB 2021 Q4 PresentationSecond FB faced material impact Apple ’ ( AAPL ) data privacy changes management expects impact revenues $ 10 billion year .,0.0,0.0
The data privacy changes negatively impacted ROI social media advertising take company time work changes .,-0.13333333333333333,0.23333333333333334
Add fact FB investing aggressively metaverse ( hence name change “ Meta ” ) company saw EPS decline year year - spite buying back $ 44.8 billion stock past year .,-0.125,0.125
